summary,components,story_points,priority,issuetype,created_year,created_month,num_comments,project,status,created_date,key,created_dayofweek,num_components,resolution_days,assignee,num_labels
Make the `gpu/nvidia` isolator nesting aware,,3.0,Major,Task,2016,9,1,Mesos,Resolved,2016-09-16,MESOS-6188,4,0,0.13,Kevin Klues,0
Make the generic `cgroups` isolator nesting aware,,3.0,Major,Task,2016,9,2,Mesos,Resolved,2016-09-16,MESOS-6186,4,0,0.13,Kevin Klues,0
Health check grace period covers failures happening after first success.,,5.0,Major,Bug,2016,9,2,Mesos,Resolved,2016-09-15,MESOS-6170,3,0,20.11,Gastón Kleiman,2
Add support for cgroups blkio subsystem blkio statistics.,containerization,8.0,Major,Task,2016,9,14,Mesos,Resolved,2016-09-15,MESOS-6162,3,1,319.88,Jason Lai,3
Remove stout's Set type,stout,1.0,Minor,Bug,2016,9,2,Mesos,Resolved,2016-09-14,MESOS-6159,2,1,6.69,Benjamin Bannier,1
ContainerInfo is not validated.,,3.0,Blocker,Bug,2016,9,4,Mesos,Resolved,2016-09-14,MESOS-6157,2,0,22.19,Alex R,3
Make the `network/cni` isolator nesting aware,containerization,3.0,Major,Task,2016,9,1,Mesos,Resolved,2016-09-13,MESOS-6156,1,1,15.85,Avinash Sridharan,1
Clean up queued tasks if a task group is killed before launch.,,2.0,Major,Bug,2016,9,2,Mesos,Resolved,2016-09-13,MESOS-6154,1,0,2.42,Anand Mazumdar,1
Resource leak in slave.cpp.,,1.0,Major,Bug,2016,9,1,Mesos,Resolved,2016-09-13,MESOS-6153,1,0,16.15,Benjamin Bannier,2
Resource leak in libevent_ssl_socket.cpp.,,2.0,Major,Bug,2016,9,2,Mesos,Resolved,2016-09-13,MESOS-6152,1,0,0.07,Benjamin Bannier,1
Populate `CommandInfo` correctly for default executors.,,2.0,Major,Task,2016,9,2,Mesos,Resolved,2016-09-12,MESOS-6151,0,0,1.55,Anand Mazumdar,1
Introduce the new isolator recover interface for nested container support.,containerization,5.0,Major,Task,2016,9,2,Mesos,Resolved,2016-09-12,MESOS-6150,0,1,12.99,Gilbert Song,2
Frameworks may RESERVE for an arbitrary role.,"allocation,master",3.0,Critical,Bug,2016,9,3,Mesos,Resolved,2016-09-08,MESOS-6142,3,2,61.21,Gastón Kleiman,2
Some tests do not properly set 'flags.launcher' with the correct value,,2.0,Major,Bug,2016,9,1,Mesos,Resolved,2016-09-08,MESOS-6141,3,0,26.32,Kevin Klues,0
Add a parallel test runner,test,5.0,Major,Improvement,2016,9,4,Mesos,Resolved,2016-09-08,MESOS-6140,3,1,34.35,Benjamin Bannier,1
Make the disk usage isolator nesting-aware,containerization,3.0,Major,Task,2016,9,1,Mesos,Resolved,2016-09-06,MESOS-6130,1,1,22.89,Greg Mann,1
TCP health checks are not portable.,,3.0,Major,Bug,2016,9,2,Mesos,Resolved,2016-09-02,MESOS-6119,4,0,61.9,Alex R,2
Source tree contains compiled protobuf source,"stout,test",3.0,Major,Bug,2016,9,2,Mesos,Resolved,2016-09-01,MESOS-6115,3,2,328.93,Qian Zhang,2
Deprecate using health checks without setting the type,master,3.0,Blocker,Bug,2016,8,5,Mesos,Resolved,2016-08-30,MESOS-6110,1,1,29.76,haosdent,3
Potential FD double close in libevent's implementation of `sendfile`.,webui,3.0,Critical,Bug,2016,8,5,Mesos,Resolved,2016-08-30,MESOS-6104,1,1,13.8,Joseph Wu,2
Add Framwork events to master's operator API,,5.0,Major,Task,2016,8,4,Mesos,Resolved,2016-08-29,MESOS-6101,0,0,338.3,Quinn,0
"Docker containerizer launch command may access a ""Container"" struct after it has been destroyed",,2.0,Minor,Bug,2016,8,2,Mesos,Resolved,2016-08-25,MESOS-6092,3,0,662.53,Chen Runcong,2
Update launch helper to checkpoint exit status of launched process.,,5.0,Major,Improvement,2016,8,3,Mesos,Resolved,2016-08-25,MESOS-6088,3,0,35.76,Kevin Klues,0
Deprecate and remove the included MPI framework,,1.0,Minor,Task,2016,8,3,Mesos,Resolved,2016-08-24,MESOS-6084,2,0,1288.09,Vinod Kone,1
Added a default (task group) executor.,,3.0,Major,Task,2016,8,2,Mesos,Resolved,2016-08-24,MESOS-6077,2,0,22.67,Anand Mazumdar,1
Implement RunTaskGroup handler on the agent.,,8.0,Major,Task,2016,8,2,Mesos,Resolved,2016-08-24,MESOS-6076,2,0,19.73,Anand Mazumdar,1
Update the streaming function for ContainerID to be nesting aware.,,2.0,Major,Task,2016,8,2,Mesos,Resolved,2016-08-23,MESOS-6073,1,0,36.92,Gilbert Song,1
Support provisioner to be nested aware for Mesos Pods.,containerization,8.0,Major,Task,2016,8,7,Mesos,Resolved,2016-08-22,MESOS-6067,0,1,19.26,Gilbert Song,2
Support provisioning image volumes in an isolator.,containerization,5.0,Major,Improvement,2016,8,2,Mesos,Resolved,2016-08-22,MESOS-6065,0,1,0.07,Gilbert Song,2
Combine test helpers into one single binary.,,3.0,Major,Improvement,2016,8,1,Mesos,Resolved,2016-08-17,MESOS-6053,2,0,334.94,Jie Yu,1
Unable to launch containers on CNI networks on CoreOS,containerization,1.0,Major,Bug,2016,8,3,Mesos,Resolved,2016-08-17,MESOS-6052,2,1,21.25,Avinash Sridharan,1
Add functions to the 'Launcher' abstraction to aid in checkpointing the exit status of containers.,,3.0,Major,Improvement,2016,8,3,Mesos,Resolved,2016-08-17,MESOS-6051,2,0,3.94,Kevin Klues,0
Add an agent flag for 'runtime_dir',,2.0,Major,Improvement,2016,8,4,Mesos,Resolved,2016-08-16,MESOS-6050,1,0,4.09,Kevin Klues,0
Validate TaskGroup launch in the master,,5.0,Major,Task,2016,8,2,Mesos,Resolved,2016-08-15,MESOS-6042,0,0,7.35,Vinod Kone,0
Update elfio to version 3.2,,1.0,Major,Improvement,2016,8,2,Mesos,Resolved,2016-08-15,MESOS-6039,0,0,0.54,Kevin Klues,2
Offer::Operation.type should be optional,,2.0,Major,Improvement,2016,8,2,Mesos,Resolved,2016-08-12,MESOS-6037,4,0,3.03,Vinod Kone,0
Define the Framework API protobufs required for TaskGroups,,3.0,Major,Task,2016,8,2,Mesos,Resolved,2016-08-12,MESOS-6036,4,0,3.2,Vinod Kone,0
Add infrastructure for unit tests in the new python-based CLI.,"cli,test",2.0,Major,Task,2016,8,5,Mesos,Resolved,2016-08-11,MESOS-6032,3,2,243.04,Armand Grillet,0
Validate health check protobuf in the master.,,3.0,Major,Improvement,2016,8,4,Mesos,Resolved,2016-08-10,MESOS-6025,2,0,2.18,haosdent,1
Create a binary for the port-mapper plugin,containerization,8.0,Blocker,Task,2016,8,6,Mesos,Resolved,2016-08-10,MESOS-6023,2,1,68.24,Avinash Sridharan,0
unit-test for port-mapper CNI plugin,containerization,3.0,Major,Task,2016,8,2,Mesos,Resolved,2016-08-10,MESOS-6022,2,1,220.94,Avinash Sridharan,1
Consolidate two `Containerizer::launch` methods into one.,,3.0,Major,Task,2016,8,2,Mesos,Resolved,2016-08-10,MESOS-6021,2,0,4.02,Gilbert Song,1
Remove `slavePid` from the Containerizer::launch API.,,3.0,Major,Task,2016,8,3,Mesos,Resolved,2016-08-10,MESOS-6020,2,0,5.0,Gilbert Song,1
Introduce `PortMapping` protobuf.,containerization,1.0,Major,Task,2016,8,1,Mesos,Resolved,2016-08-09,MESOS-6017,1,1,2.23,Avinash Sridharan,1
Design for port-mapper CNI plugin,containerization,1.0,Major,Task,2016,8,0,Mesos,Resolved,2016-08-09,MESOS-6015,1,1,0.87,Avinash Sridharan,1
Added port mapping CNI plugin.,containerization,5.0,Blocker,Epic,2016,8,2,Mesos,Resolved,2016-08-09,MESOS-6014,1,1,69.83,Avinash Sridharan,1
Use readdir instead of readdir_r.,stout,3.0,Major,Bug,2016,8,3,Mesos,Resolved,2016-08-09,MESOS-6013,1,1,27.95,Neil Conway,1
Add the infrastructure for a new python-based CLI.,,7.0,Major,Improvement,2016,8,2,Mesos,Resolved,2016-08-08,MESOS-6008,0,0,62.8,Kevin Klues,0
Abstract mesos-style.py to allow future linters to be added more easily.,,2.0,Major,Improvement,2016,8,4,Mesos,Resolved,2016-08-08,MESOS-6006,0,0,62.94,Kevin Klues,2
Aufs backend cannot support the image with numerous layers.,containerization,3.0,Critical,Bug,2016,8,4,Mesos,Resolved,2016-08-05,MESOS-6001,4,1,173.13,Gilbert Song,3
PollSocketImpl can write to a stale fd.,libprocess,3.0,Blocker,Bug,2016,8,2,Mesos,Resolved,2016-08-04,MESOS-5988,3,1,5.24,Greg Mann,1
Update health check protobuf for HTTP and TCP health check,,3.0,Major,Task,2016,8,4,Mesos,Resolved,2016-08-04,MESOS-5987,3,0,55.97,haosdent,2
SSL Socket CHECK can fail after socket receives EOF,libprocess,3.0,Blocker,Bug,2016,8,3,Mesos,Resolved,2016-08-04,MESOS-5986,3,1,4.08,Greg Mann,1
Number of libprocess worker threads is not configurable for log-rotation module.,containerization,1.0,Major,Improvement,2016,8,2,Mesos,Resolved,2016-08-03,MESOS-5983,2,1,0.09,Joris Van Remoortere,1
NvidiaVolume errors out if any binary is missing,,2.0,Major,Bug,2016,8,1,Mesos,Resolved,2016-08-03,MESOS-5982,2,0,0.17,Kevin Klues,2
Linux 'MountInfoTable' entries not sorted as expected,,3.0,Major,Bug,2016,8,2,Mesos,Resolved,2016-08-02,MESOS-5969,1,0,6.9,Kevin Klues,2
Add libprocess HTTP tests with SSL support,,3.0,Major,Task,2016,8,4,Mesos,Resolved,2016-08-02,MESOS-5966,1,0,129.41,Greg Mann,1
HealthChecker should not decide when to kill tasks and when to stop performing health checks.,,5.0,Major,Bug,2016,8,2,Mesos,Resolved,2016-08-02,MESOS-5963,1,0,115.14,Alex R,2
HTTP and TCP health checks should support docker executor and bridged mode.,,8.0,Major,Improvement,2016,8,7,Mesos,Resolved,2016-08-02,MESOS-5961,1,0,26.2,haosdent,2
All non-root tests fail on GPU machine,,2.0,Major,Bug,2016,8,2,Mesos,Resolved,2016-08-01,MESOS-5959,0,0,0.07,Kevin Klues,2
Reviewbot failing due to python files not being cleaned up after distclean,build,2.0,Critical,Bug,2016,8,5,Mesos,Resolved,2016-08-01,MESOS-5958,0,1,1.15,Joseph Wu,0
"The ""mesos-health-check"" binary is not used anymore.",,3.0,Major,Improvement,2016,8,3,Mesos,Resolved,2016-08-01,MESOS-5955,0,0,27.19,haosdent,1
Docker executor does not use HealthChecker library.,,3.0,Major,Improvement,2016,8,2,Mesos,Resolved,2016-08-01,MESOS-5954,0,0,27.19,haosdent,1
NvidiaVolume::create() should check for root before creating volume,,2.0,Major,Bug,2016,7,1,Mesos,Resolved,2016-07-31,MESOS-5945,6,0,1.41,Kevin Klues,2
Remove `O_SYNC` from StatusUpdateManager logs,agent,1.0,Major,Improvement,2016,7,2,Mesos,Resolved,2016-07-31,MESOS-5944,6,1,4.65,Joris Van Remoortere,1
Incremental http parsing of URLs leads to decoder error,"libprocess,scheduler driver",3.0,Blocker,Bug,2016,7,2,Mesos,Resolved,2016-07-30,MESOS-5943,5,2,2.84,Joris Van Remoortere,1
Support auto backend in Unified Containerizer.,containerization,8.0,Blocker,Improvement,2016,7,6,Mesos,Resolved,2016-07-29,MESOS-5931,4,1,184.18,Gilbert Song,3
Orphan tasks can show up as running after they have finished.,master,3.0,Major,Bug,2016,7,4,Mesos,Resolved,2016-07-29,MESOS-5930,4,1,6.37,Anand Mazumdar,1
Agent's '--version' flag doesn't work,,1.0,Major,Bug,2016,7,2,Mesos,Resolved,2016-07-29,MESOS-5928,4,0,6.02,Greg Mann,1
"Unable to run ""scratch"" Dockerfiles with Unified Containerizer.",containerization,3.0,Major,Bug,2016,7,2,Mesos,Resolved,2016-07-29,MESOS-5927,4,1,4.69,Gilbert Song,3
"Ubuntu 14.04 LTS GPU Isolator ""/run"" directory is noexec",,3.0,Major,Bug,2016,7,2,Mesos,Resolved,2016-07-28,MESOS-5923,3,0,3.72,Kevin Klues,2
"Stout ""OsTest.User"" test can fail on some systems",stout,2.0,Major,Bug,2016,7,11,Mesos,Resolved,2016-07-26,MESOS-5909,1,1,59.23,Mao Geng,1
ExamplesTest.DiskFullFramework fails on Arch,test,1.0,Major,Bug,2016,7,4,Mesos,Resolved,2016-07-26,MESOS-5907,1,1,0.19,Joseph Wu,1
Process routes implementation seems to drop routes on Windows.,,1.0,Major,Bug,2016,7,4,Mesos,Resolved,2016-07-25,MESOS-5904,0,0,728.96,Andrew Schwartzmeyer,3
Make the command executor unversioned,,2.0,Major,Improvement,2016,7,2,Mesos,Resolved,2016-07-25,MESOS-5901,0,0,15.99,Anand Mazumdar,1
Support Unix domain socket connections in libprocess,libprocess,5.0,Major,Improvement,2016,7,7,Mesos,Resolved,2016-07-25,MESOS-5900,0,1,130.22,Benjamin Hindman,1
`os::cloexec` does not exist on Windows,,2.0,Major,Bug,2016,7,5,Mesos,Resolved,2016-07-21,MESOS-5882,3,0,580.2,Andrew Schwartzmeyer,3
cgroups/net_cls isolator causing agent recovery issues,"agent,containerization",1.0,Major,Bug,2016,7,33,Mesos,Resolved,2016-07-21,MESOS-5879,3,2,91.06,Avinash Sridharan,1
Strict/RegistrarTest.UpdateQuota/0 is flaky,test,3.0,Major,Bug,2016,7,1,Mesos,Resolved,2016-07-21,MESOS-5878,3,1,22.46,Alex R,1
Document MESOS_SANDBOX executor env variable.,"containerization,documentation",2.0,Major,Bug,2016,7,2,Mesos,Resolved,2016-07-19,MESOS-5864,1,2,2.14,Gilbert Song,3
Enabling SSL causes fetcher fail to fetch from HTTPS sites.,,3.0,Major,Bug,2016,7,3,Mesos,Resolved,2016-07-19,MESOS-5863,1,0,1.21,Jie Yu,0
Logrotate ContainerLogger module does not rotate logs when run as root with `--switch_user`.,,3.0,Critical,Bug,2016,7,4,Mesos,Resolved,2016-07-19,MESOS-5856,1,0,127.89,Sivaram Kannan,4
Create a 'Disk (not) full' example framework,,3.0,Minor,Task,2016,7,2,Mesos,Resolved,2016-07-17,MESOS-5855,6,0,8.84,Artem Harutyunyan,1
CMake build needs to generate protobufs before building libmesos,"build,cmake",2.0,Major,Bug,2016,7,2,Mesos,Resolved,2016-07-15,MESOS-5852,4,2,10.28,Srinivas,2
Docker health checks are malformed.,,1.0,Major,Bug,2016,7,3,Mesos,Resolved,2016-07-15,MESOS-5848,4,0,4.24,Alex R,1
The fetcher can access any local file as root,fetcher,3.0,Major,Bug,2016,7,7,Mesos,Resolved,2016-07-14,MESOS-5845,3,1,6.98,Greg Mann,2
PersistentVolumeEndpointsTest.OfferCreateThenEndpointRemove test is flaky,,1.0,Major,Bug,2016,7,3,Mesos,Resolved,2016-07-13,MESOS-5844,2,0,4.71,Neil Conway,0
Add example framework for using inverse offers,,3.0,Minor,Task,2016,7,8,Mesos,Resolved,2016-07-10,MESOS-5827,6,0,838.51,Till Toenshoff,3
Support mounting image volume in mesos containerizer.,containerization,5.0,Major,Improvement,2016,7,4,Mesos,Resolved,2016-07-08,MESOS-5825,4,1,25.06,Gilbert Song,4
Include disk source information in stringification,stout,3.0,Minor,Improvement,2016,7,11,Mesos,Resolved,2016-07-08,MESOS-5824,4,1,595.99,Shubham Kumar,3
Add a build script for the Windows CI,build,3.0,Major,Improvement,2016,7,2,Mesos,Resolved,2016-07-08,MESOS-5822,4,1,17.09,Joseph Wu,3
Port libprocess http_tests.cpp,,1.0,Major,Task,2016,7,5,Mesos,Resolved,2016-07-08,MESOS-5814,4,0,745.99,Andrew Schwartzmeyer,4
MasterAPITest.Subscribe is flaky,test,3.0,Major,Bug,2016,7,5,Mesos,Resolved,2016-07-08,MESOS-5812,4,1,9.13,Anand Mazumdar,0
CNI isolator should prepare network related /etc/* files for containers using host mode but specify container images.,"containerization,network",5.0,Major,Bug,2016,7,6,Mesos,Resolved,2016-07-08,MESOS-5806,4,2,11.66,Qian Zhang,1
ExamplesTest.DynamicReservationFramework is flaky,"allocation,test",3.0,Major,Bug,2016,7,5,Mesos,Resolved,2016-07-07,MESOS-5804,3,2,1028.3,Benjamin Mahler,2
SlaveAuthorizerTest/0.ViewFlags is flaky.,agent,2.0,Major,Bug,2016,7,1,Mesos,Resolved,2016-07-07,MESOS-5802,3,1,28.02,Alexander Rojas,3
Add ability to inject Nvidia devices into a container,,3.0,Major,Improvement,2016,7,2,Mesos,Resolved,2016-07-06,MESOS-5793,2,0,0.08,Kevin Klues,2
Add mesos tests to CMake (make check),build,8.0,Major,Improvement,2016,7,4,Mesos,Resolved,2016-07-05,MESOS-5792,1,1,146.06,Srinivas,2
Added JAVA API adapter for seamless transition to new scheduler API.,,8.0,Major,Task,2016,7,4,Mesos,Resolved,2016-07-05,MESOS-5788,1,0,27.74,Anand Mazumdar,1
Add ability to set framework capabilities in 'mesos-execute',,2.0,Major,Improvement,2016,7,2,Mesos,Resolved,2016-07-05,MESOS-5787,1,0,0.35,Kevin Klues,1
Renamed 'commands' to 'pre_exec_commands' in ContainerLaunchInfo.,containerization,2.0,Major,Improvement,2016,7,2,Mesos,Resolved,2016-07-05,MESOS-5782,1,1,0.01,Gilbert Song,3
Add get_abi_version() to ELF abstraction in stout,,2.0,Major,Improvement,2016,7,2,Mesos,Resolved,2016-07-02,MESOS-5769,5,0,0.12,Kevin Klues,2
Reimplement the stout ELF abstraction in terms of ELFIO,,2.0,Major,Improvement,2016,7,3,Mesos,Resolved,2016-07-02,MESOS-5768,5,0,0.1,Kevin Klues,2
Add ELFIO as bundled Dependency to Mesos,,2.0,Major,Improvement,2016,7,4,Mesos,Resolved,2016-07-02,MESOS-5767,5,0,0.11,Kevin Klues,2
Missing License Information for Bundled NVML headers,,1.0,Major,Bug,2016,7,2,Mesos,Resolved,2016-07-02,MESOS-5766,5,0,2.92,Kevin Klues,2
Add 'systemGetDriverVersion' to NVML abstraction.,,2.0,Major,Improvement,2016,7,2,Mesos,Resolved,2016-07-01,MESOS-5765,4,0,0.01,Kevin Klues,2
Improve the logic of orphan tasks,,5.0,Major,Improvement,2016,7,3,Mesos,Resolved,2016-07-01,MESOS-5761,4,0,21.41,Vinod Kone,0
ProcessRemoteLinkTest.RemoteUseStaleLink and RemoteStaleLinkRelink are flaky,"libprocess,test",1.0,Major,Bug,2016,7,4,Mesos,Resolved,2016-07-01,MESOS-5759,4,2,10.94,Joseph Wu,2
NVML headers are not installed as part of 3rdparty install with --enable-install-module-dependencies,,2.0,Major,Bug,2016,6,1,Mesos,Resolved,2016-06-30,MESOS-5755,3,0,0.99,Kevin Klues,0
Command executor should use `mesos-containerizer launch` to launch user task.,containerization,8.0,Major,Improvement,2016,6,2,Mesos,Resolved,2016-06-30,MESOS-5753,3,1,3.82,Jie Yu,2
Potential segfault in `link` and `send` when linking to a remote process,libprocess,2.0,Major,Bug,2016,6,3,Mesos,Resolved,2016-06-29,MESOS-5748,2,1,273.41,Joseph Wu,2
AuthenticationTest.UnauthenticatedSlave fails with clang++3.8,test,3.0,Major,Bug,2016,6,10,Mesos,Resolved,2016-06-29,MESOS-5745,2,1,196.26,Benjamin Bannier,1
"When start an agent with `--resources`, the GPU resource can be fractional",,1.0,Major,Bug,2016,6,3,Mesos,Resolved,2016-06-29,MESOS-5742,2,0,0.66,Kevin Klues,1
Consider adding `relink` functionality to libprocess,libprocess,3.0,Major,Improvement,2016,6,2,Mesos,Resolved,2016-06-29,MESOS-5740,2,1,0.96,Joseph Wu,2
Command executor health check does not work when the task specifies container image.,containerization,5.0,Major,Bug,2016,6,3,Mesos,Resolved,2016-06-27,MESOS-5727,0,1,4.01,Gilbert Song,3
Benchmark the v1 Operator API,,3.0,Major,Task,2016,6,2,Mesos,Resolved,2016-06-27,MESOS-5726,0,0,568.91,Meng Zhu,1
SSL-enabled libprocess will leak incoming links to forks,libprocess,2.0,Blocker,Bug,2016,6,2,Mesos,Resolved,2016-06-27,MESOS-5723,0,1,1.06,Joseph Wu,3
Can't autodiscovery GPU resources without '--enable-nvidia-gpu-support' and '--nvidia_gpu_devices' flags,,2.0,Major,Bug,2016,6,6,Mesos,Resolved,2016-06-27,MESOS-5717,0,0,0.77,Kevin Klues,1
Document docker private registry with authentication support in Unified Containerizer.,"containerization,documentation",3.0,Major,Improvement,2016,6,1,Mesos,Resolved,2016-06-27,MESOS-5716,0,2,16.41,Gilbert Song,3
Document exactly what is handled by GET_ENDPOINTS_WITH_PATH acl,"documentation,security",1.0,Minor,Task,2016,6,2,Mesos,Resolved,2016-06-24,MESOS-5712,4,2,7.21,Alexander Rojas,3
Update AUTHORIZATION strings in endpoint help,"documentation,security",2.0,Minor,Task,2016,6,2,Mesos,Resolved,2016-06-24,MESOS-5711,4,2,6.24,Jörg Schad,3
Authorization for /roles,security,3.0,Blocker,Task,2016,6,5,Mesos,Resolved,2016-06-24,MESOS-5709,4,1,10.72,Jörg Schad,2
Add authz to /files/debug,security,3.0,Minor,Task,2016,6,6,Mesos,Resolved,2016-06-24,MESOS-5708,4,1,12.27,Abhishek Dasgupta,2
LocalAuthorizer should error if passed a GET_ENDPOINT ACL with an unhandled path,security,3.0,Blocker,Task,2016,6,3,Mesos,Resolved,2016-06-24,MESOS-5707,4,1,7.23,Alexander Rojas,2
GET_ENDPOINT_WITH_PATH authz doesn't make sense for /flags,security,2.0,Major,Task,2016,6,2,Mesos,Resolved,2016-06-24,MESOS-5706,4,1,3.9,Alexander Rojas,2
ZK credential is exposed in /flags and /state,"master,security",5.0,Blocker,Task,2016,6,3,Mesos,Resolved,2016-06-24,MESOS-5705,4,2,6.35,Alexander Rojas,2
Fine-grained authorization on /frameworks,"master,security",3.0,Critical,Task,2016,6,2,Mesos,Resolved,2016-06-24,MESOS-5704,4,2,4.43,Alexander Rojas,2
Create new documentation for Mesos networking.,documentation,1.0,Major,Task,2016,6,1,Mesos,Resolved,2016-06-23,MESOS-5699,3,1,6.87,Avinash Sridharan,1
Quota sorter not updated for resource changes at agent.,allocation,5.0,Blocker,Bug,2016,6,4,Mesos,Resolved,2016-06-23,MESOS-5698,3,1,10.77,Neil Conway,2
Support file volume in mesos containerizer.,"containerization,storage",3.0,Major,Improvement,2016,6,2,Mesos,Resolved,2016-06-23,MESOS-5697,3,2,11.03,Gilbert Song,4
SSL downgrade support will leak sockets in CLOSE_WAIT status,libprocess,5.0,Blocker,Bug,2016,6,2,Mesos,Resolved,2016-06-23,MESOS-5691,3,1,0.02,Joseph Wu,2
The /files/download endpoint's authorization can be compromised,,2.0,Blocker,Bug,2016,6,3,Mesos,Resolved,2016-06-22,MESOS-5685,2,0,1.45,Greg Mann,1
Master captures `this` when creating authorization callback,,1.0,Blocker,Bug,2016,6,2,Mesos,Resolved,2016-06-22,MESOS-5684,2,0,0.85,Greg Mann,1
Add support for master capabilities,master,3.0,Major,Improvement,2016,6,4,Mesos,Resolved,2016-06-21,MESOS-5675,1,1,532.47,Benno Evers,1
Port mapping isolator may fail in 'isolate' method.,"containerization,network",3.0,Major,Bug,2016,6,1,Mesos,Resolved,2016-06-21,MESOS-5674,1,2,1.86,Gilbert Song,4
Port mapping isolator may cause segfault if it bind mount root does not exist.,containerization,3.0,Major,Bug,2016,6,1,Mesos,Resolved,2016-06-21,MESOS-5673,1,1,1.88,Gilbert Song,4
